Nome do Ativo;Data;Dividend Yield;Taxa Indicativa
NTN-B 760199 20350515;15/05/2019;;0,0423
NTN-B 760199 20350515;16/05/2019;;0,0427
NTN-B 760199 20350515;17/05/2019;;0,0433
NTN-B 760199 20350515;20/05/2019;;0,0429
NTN-B 760199 20350515;21/05/2019;;0,0424
NTN-B 760199 20350515;22/05/2019;;0,0422
NTN-B 760199 20350515;23/05/2019;;0,0421
NTN-B 760199 20350515;24/05/2019;;0,042
NTN-B 760199 20350515;27/05/2019;;0,0417
NTN-B 760199 20350515;28/05/2019;;0,0408
NTN-B 760199 20350515;29/05/2019;;0,0402
NTN-B 760199 20350515;30/05/2019;;0,0396
NTN-B 760199 20350515;31/05/2019;;0,0394
NTN-B 760199 20350515;03/06/2019;;0,0392
NTN-B 760199 20350515;04/06/2019;;0,039
NTN-B 760199 20350515;05/06/2019;;0,0394
NTN-B 760199 20350515;06/06/2019;;0,039
NTN-B 760199 20350515;07/06/2019;;0,0385
NTN-B 760199 20350515;10/06/2019;;0,0384
NTN-B 760199 20350515;11/06/2019;;0,0382
NTN-B 760199 20350515;12/06/2019;;0,0386
NTN-B 760199 20350515;13/06/2019;;0,0385
NTN-B 760199 20350515;14/06/2019;;0,0385
NTN-B 760199 20350515;17/06/2019;;0,0383
NTN-B 760199 20350515;18/06/2019;;0,0381
NTN-B 760199 20350515;19/06/2019;;0,0379
NTN-B 760199 20350515;21/06/2019;;0,0369
NTN-B 760199 20350515;24/06/2019;;0,0366
NTN-B 760199 20350515;25/06/2019;;0,0368
NTN-B 760199 20350515;26/06/2019;;0,0364
NTN-B 760199 20350515;27/06/2019;;0,036
NTN-B 760199 20350515;28/06/2019;;0,0355
NTN-B 760199 20350515;01/07/2019;;0,0353
NTN-B 760199 20350515;02/07/2019;;0,0357
NTN-B 760199 20350515;03/07/2019;;0,0355
NTN-B 760199 20350515;04/07/2019;;0,0355
NTN-B 760199 20350515;05/07/2019;;0,0356
NTN-B 760199 20350515;08/07/2019;;0,0353
NTN-B 760199 20350515;09/07/2019;;0,0353
NTN-B 760199 20350515;10/07/2019;;0,035
NTN-B 760199 20350515;11/07/2019;;0,035
NTN-B 760199 20350515;12/07/2019;;0,0352
NTN-B 760199 20350515;15/07/2019;;0,0352
NTN-B 760199 20350515;16/07/2019;;0,0356
NTN-B 760199 20350515;17/07/2019;;0,0357
NTN-B 760199 20350515;18/07/2019;;0,0357
NTN-B 760199 20350515;19/07/2019;;0,0358
NTN-B 760199 20350515;22/07/2019;;0,0357
NTN-B 760199 20350515;23/07/2019;;0,0353
NTN-B 760199 20350515;24/07/2019;;0,035
NTN-B 760199 20350515;25/07/2019;;0,0352
NTN-B 760199 20350515;26/07/2019;;0,035
NTN-B 760199 20350515;29/07/2019;;0,035
NTN-B 760199 20350515;30/07/2019;;0,0351
NTN-B 760199 20350515;31/07/2019;;0,0354
NTN-B 760199 20350515;01/08/2019;;0,0354
NTN-B 760199 20350515;02/08/2019;;0,0355
NTN-B 760199 20350515;05/08/2019;;0,0359
NTN-B 760199 20350515;06/08/2019;;0,0353
NTN-B 760199 20350515;07/08/2019;;0,0348
NTN-B 760199 20350515;08/08/2019;;0,0344
NTN-B 760199 20350515;09/08/2019;;0,0343
NTN-B 760199 20350515;12/08/2019;;0,0345
NTN-B 760199 20350515;13/08/2019;;0,0346
NTN-B 760199 20350515;14/08/2019;;0,0348
NTN-B 760199 20350515;15/08/2019;;0,0347
